LOANAMOUNT,SEX,AGE,HOUSE,CREDITCARD,JOB,DEPENDENT,TELEPHONE,FOREIGNER,RISK
250,male,28,own,1,skilled,1,none,yes,No Risk
2111,male,34,own,1,unemployed,2,none,yes,No Risk
6455,male,43,own,1,skilled,1,none,yes,Risk
250,female,40,free,2,skilled,1,none,yes,No Risk
250,male,28,rent,1,skilled,1,none,yes,Risk
1431,female,25,own,1,skilled,1,none,yes,Risk
250,male,42,rent,1,skilled,1,none,yes,No Risk
2016,female,34,own,1,unemployed,1,none,yes,No Risk
250,female,29,rent,1,skilled,1,none,yes,No Risk
1923,female,46,rent,1,skilled,2,none,yes,Risk
2528,male,23,rent,1,skilled,1,none,yes,No Risk
7083,female,49,own,2,skilled,2,yes,yes,Risk
8886,male,35,free,2,skilled,1,yes,yes,No Risk
8032,male,41,own,1,skilled,1,none,yes,No Risk
6201,male,40,own,2,unskilled,1,yes,yes,No Risk
3952,male,36,own,2,skilled,1,none,yes,No Risk
2122,male,32,own,2,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
5220,male,52,free,2,skilled,1,yes,yes,Risk
1276,male,23,own,1,skilled,1,none,yes,No Risk
1074,male,35,rent,1,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
2691,female,36,free,1,skilled,1,none,yes,No Risk
1668,female,20,own,1,skilled,1,none,yes,No Risk
5536,female,52,own,2,skilled,1,yes,yes,No Risk
3713,male,29,rent,1,skilled,1,none,yes,No Risk
250,female,19,own,1,skilled,1,none,yes,No Risk
2398,male,22,own,1,skilled,1,none,yes,No Risk
5843,male,49,own,3,skilled,2,yes,yes,Risk
250,male,30,own,2,skilled,1,none,yes,No Risk
2453,male,39,own,2,skilled,1,none,yes,No Risk
357,female,34,rent,1,unskilled,1,none,yes,No Risk
7506,male,46,free,3,skilled,1,yes,yes,Risk
1697,female,19,own,1,skilled,1,none,yes,No Risk
1939,male,36,free,1,skilled,1,yes,yes,Risk
2783,female,31,own,1,skilled,1,none,yes,No Risk
6996,male,52,own,2,unskilled,2,yes,yes,Risk
3786,male,38,own,1,skilled,1,yes,yes,No Risk
2964,male,32,own,1,skilled,1,yes,yes,No Risk
250,female,27,rent,1,unemployed,2,yes,yes,No Risk
2064,female,19,rent,1,unskilled,1,none,yes,No Risk
5222,male,53,free,2,skilled,2,yes,yes,No Risk
2056,male,30,own,2,skilled,1,none,yes,No Risk
250,female,33,rent,1,unskilled,1,none,yes,No Risk
3091,male,37,rent,2,unskilled,2,yes,yes,No Risk
3605,female,19,rent,1,skilled,1,none,yes,No Risk
2609,male,33,rent,1,unskilled,1,yes,yes,No Risk
463,male,42,own,2,skilled,1,yes,yes,No Risk
5208,male,31,own,2,skilled,1,yes,yes,No Risk
1524,female,36,own,1,skilled,1,none,yes,No Risk
2783,male,28,own,1,skilled,1,none,yes,No Risk
250,male,20,rent,1,skilled,1,none,yes,No Risk
250,male,27,own,1,skilled,1,none,yes,No Risk
6674,male,44,free,2,unskilled,1,yes,yes,Risk
250,male,22,own,1,skilled,1,none,yes,No Risk
1149,male,45,own,2,skilled,1,yes,yes,Risk
4183,female,24,own,1,skilled,1,none,yes,No Risk
7846,male,56,free,2,skilled,1,yes,yes,Risk
778,male,22,rent,1,skilled,1,none,yes,No Risk
7443,male,56,own,3,unemployed,2,yes,yes,Risk
1244,female,40,free,2,skilled,1,yes,yes,No Risk
2429,male,29,own,1,skilled,1,none,yes,No Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
5371,male,45,free,2,skilled,2,yes,yes,Risk
3453,female,27,own,1,skilled,1,yes,yes,Risk
5601,male,42,rent,2,skilled,1,yes,yes,No Risk
250,male,29,own,1,skilled,1,none,yes,No Risk
5368,female,42,own,1,skilled,2,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
7083,male,53,free,2,skilled,2,yes,yes,Risk
250,female,24,own,1,skilled,1,none,yes,No Risk
2719,male,38,own,2,skilled,1,none,yes,No Risk
4188,male,43,own,2,skilled,1,none,yes,No Risk
4855,female,25,own,1,skilled,1,none,yes,No Risk
5308,male,40,own,2,skilled,1,none,yes,No Risk
3452,male,48,own,1,skilled,1,none,yes,Risk
3416,male,19,own,1,unskilled,1,none,yes,No Risk
3910,male,36,own,2,unskilled,1,none,yes,No Risk
250,female,22,own,1,skilled,1,none,yes,No Risk
5893,female,46,free,2,skilled,1,none,yes,No Risk
5600,male,38,own,2,unskilled,1,none,yes,No Risk
2187,female,33,own,1,skilled,1,yes,yes,No Risk
5495,female,49,own,2,skilled,2,yes,yes,Risk
1832,male,31,rent,1,skilled,1,none,yes,No Risk
2996,male,36,own,2,skilled,1,yes,yes,No Risk
3322,female,34,own,2,skilled,1,yes,yes,No Risk
1884,female,27,own,1,unskilled,1,yes,yes,No Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
1231,male,41,own,1,skilled,1,none,yes,No Risk
6453,male,48,own,2,skilled,1,none,yes,Risk
7158,male,37,own,2,unskilled,1,none,yes,No Risk
5702,female,47,own,2,skilled,1,yes,yes,Risk
2886,male,29,own,1,skilled,1,none,yes,No Risk
2746,male,41,own,2,skilled,1,none,yes,No Risk
3533,male,38,own,1,skilled,1,none,yes,No Risk
250,female,26,rent,1,unskilled,1,none,yes,No Risk
2208,female,43,free,2,skilled,1,yes,yes,No Risk
250,female,21,rent,1,skilled,1,none,yes,No Risk
3012,male,27,own,1,skilled,1,none,yes,No Risk
1073,male,46,own,1,skilled,1,yes,yes,No Risk
4164,female,54,own,1,skilled,1,none,yes,No Risk
4794,male,30,own,1,skilled,1,yes,yes,No Risk
2511,female,29,own,1,skilled,1,none,yes,No Risk
3424,male,27,own,1,skilled,1,yes,yes,No Risk
7532,male,47,own,2,skilled,1,none,yes,Risk
2901,female,36,own,1,skilled,1,none,yes,No Risk
5673,male,48,own,2,skilled,1,none,yes,Risk
250,male,40,own,1,skilled,1,yes,yes,No Risk
1543,female,21,rent,1,skilled,1,none,yes,No Risk
1546,male,28,own,2,skilled,1,yes,yes,Risk
5056,male,47,own,3,skilled,1,yes,yes,Risk
4926,male,38,own,2,skilled,2,yes,no,Risk
5045,male,36,free,2,unskilled,1,yes,yes,No Risk
3114,male,27,own,1,unemployed,1,none,yes,No Risk
3243,male,36,own,1,skilled,1,none,yes,Risk
250,male,20,rent,1,unemployed,1,none,yes,No Risk
6238,male,41,own,1,skilled,1,none,yes,Risk
250,male,26,rent,1,unskilled,1,none,yes,No Risk
250,male,22,own,1,unskilled,1,none,yes,Risk
393,male,28,own,1,skilled,1,none,yes,No Risk
250,female,19,own,1,skilled,1,none,yes,No Risk
8862,male,53,free,3,skilled,2,yes,yes,Risk
250,female,25,rent,1,skilled,1,none,yes,No Risk
3881,female,43,own,1,skilled,1,yes,yes,Risk
250,female,22,rent,1,skilled,1,none,yes,No Risk
652,male,33,own,1,skilled,1,none,yes,No Risk
2703,male,31,own,1,unemployed,1,yes,yes,No Risk
1820,female,28,rent,2,skilled,2,none,yes,No Risk
1668,female,49,free,1,skilled,1,yes,yes,Risk
7301,male,48,free,3,skilled,2,yes,yes,Risk
3423,male,56,free,2,skilled,1,yes,yes,Risk
6703,male,54,own,2,skilled,1,yes,yes,No Risk
812,male,19,rent,1,unemployed,1,none,yes,No Risk
2735,female,45,rent,2,skilled,1,none,yes,Risk
530,male,32,own,1,skilled,1,none,yes,No Risk
2119,female,23,rent,1,unskilled,1,none,yes,No Risk
3573,female,39,own,2,skilled,1,none,yes,Risk
6921,male,50,own,3,skilled,2,yes,yes,Risk
1652,male,28,rent,1,skilled,2,none,yes,No Risk
3379,male,42,own,1,skilled,1,none,yes,No Risk
2305,female,45,own,2,skilled,1,yes,no,Risk
250,male,19,rent,1,unemployed,1,none,yes,No Risk
3428,male,38,own,1,skilled,1,none,yes,No Risk
250,male,23,own,1,skilled,1,none,yes,No Risk
5585,male,42,own,2,skilled,1,yes,yes,No Risk
3366,female,31,own,1,skilled,1,none,yes,No Risk
7192,male,50,own,2,unskilled,1,yes,yes,No Risk
4603,male,59,own,2,skilled,1,yes,yes,Risk
1005,female,33,own,1,unskilled,1,yes,yes,No Risk
3481,male,43,own,1,skilled,2,yes,yes,No Risk
6483,female,44,own,2,skilled,1,yes,yes,Risk
250,female,37,own,1,skilled,1,none,yes,No Risk
438,male,30,own,2,unskilled,1,none,yes,No Risk
850,male,19,rent,1,skilled,1,none,yes,No Risk
4649,female,44,own,2,skilled,1,none,yes,Risk
250,male,19,rent,2,unskilled,1,none,yes,Risk
5241,male,37,own,1,skilled,2,yes,yes,Risk
1420,female,26,own,1,unskilled,1,none,yes,No Risk
3170,male,41,rent,1,skilled,1,none,yes,Risk
337,female,21,own,1,skilled,1,none,yes,No Risk
2638,male,27,own,2,skilled,1,yes,yes,Risk
9560,male,39,free,2,skilled,1,none,yes,Risk
4560,male,32,own,1,skilled,1,none,yes,No Risk
6580,male,32,own,1,skilled,1,yes,yes,No Risk
1023,male,33,rent,2,skilled,1,none,yes,No Risk
690,male,27,own,1,skilled,2,yes,yes,No Risk
250,female,20,rent,2,skilled,1,none,yes,No Risk
5275,male,53,free,2,skilled,2,yes,yes,Risk
8310,male,36,free,2,skilled,2,yes,yes,Risk
3944,female,43,own,2,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
2987,female,39,own,1,skilled,1,none,yes,No Risk
250,female,19,rent,1,unskilled,1,none,yes,No Risk
1918,male,19,own,1,skilled,1,none,yes,Risk
250,female,31,own,1,skilled,1,yes,yes,No Risk
6795,female,40,own,2,unskilled,2,yes,yes,Risk
1006,male,26,own,2,skilled,1,none,yes,No Risk
4042,male,40,own,1,skilled,1,yes,yes,Risk
250,female,27,own,1,skilled,1,none,yes,No Risk
4411,male,35,own,2,skilled,1,none,yes,No Risk
484,female,29,own,1,skilled,1,none,yes,No Risk
536,female,32,own,1,skilled,1,none,yes,No Risk
250,male,29,rent,1,skilled,1,none,yes,No Risk
2649,male,32,own,2,skilled,1,none,yes,Risk
1779,male,31,own,2,skilled,2,yes,yes,Risk
296,male,21,own,3,skilled,1,none,yes,No Risk
4722,female,44,own,2,skilled,1,none,yes,Risk
779,female,28,own,2,skilled,1,none,yes,No Risk
10184,male,53,own,3,skilled,2,yes,yes,Risk
250,male,28,rent,1,skilled,1,none,yes,No Risk
6169,female,47,own,3,unskilled,2,yes,yes,Risk
8121,male,38,own,1,unskilled,1,none,yes,Risk
2875,male,33,own,2,skilled,1,yes,yes,No Risk
6675,female,47,free,2,skilled,1,none,yes,No Risk
5692,female,38,own,2,unemployed,1,yes,yes,No Risk
6302,female,45,own,1,skilled,1,none,yes,No Risk
2458,male,19,own,1,skilled,1,none,yes,No Risk
4609,male,36,rent,1,skilled,2,none,yes,No Risk
4304,female,24,rent,1,skilled,2,none,yes,No Risk
2642,female,41,rent,2,skilled,1,yes,yes,Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
6891,female,48,own,2,skilled,2,yes,yes,Risk
368,female,29,rent,1,skilled,1,none,yes,No Risk
5242,male,38,own,1,skilled,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
2960,male,27,own,1,skilled,1,yes,yes,Risk
7689,male,51,free,2,skilled,1,yes,yes,Risk
250,female,23,rent,1,unskilled,1,none,yes,No Risk
250,female,31,rent,1,skilled,1,none,yes,No Risk
3893,male,42,own,2,skilled,1,yes,yes,Risk
4999,female,51,own,1,skilled,1,yes,yes,Risk
250,male,19,rent,1,unskilled,1,none,yes,No Risk
250,male,26,rent,1,skilled,1,none,yes,No Risk
4313,female,38,own,2,unemployed,2,none,yes,No Risk
1376,female,22,own,1,skilled,1,none,yes,No Risk
1931,female,24,rent,1,unskilled,1,none,yes,No Risk
1455,female,19,own,1,unskilled,1,yes,yes,No Risk
3811,male,34,own,1,skilled,1,none,yes,Risk
1327,female,39,rent,1,skilled,1,none,yes,No Risk
6563,female,42,own,2,unskilled,2,yes,yes,No Risk
4422,male,43,own,2,skilled,1,none,yes,No Risk
3349,male,20,rent,1,skilled,1,none,yes,No Risk
2912,male,30,rent,2,skilled,1,none,yes,No Risk
8575,male,45,free,2,unskilled,2,yes,yes,Risk
6343,male,34,own,2,unskilled,1,none,yes,No Risk
250,male,24,rent,1,skilled,1,none,yes,No Risk
250,male,36,own,1,skilled,1,yes,yes,No Risk
6326,male,56,free,2,skilled,1,yes,yes,Risk
690,male,35,own,1,skilled,1,none,yes,No Risk
5728,male,46,free,3,skilled,2,yes,yes,No Risk
1675,male,31,own,1,skilled,1,yes,yes,No Risk
6272,male,42,own,2,unskilled,2,yes,yes,Risk
250,female,32,own,1,skilled,1,none,yes,No Risk
250,female,40,own,2,skilled,2,yes,yes,No Risk
4041,male,52,free,2,unskilled,2,yes,yes,No Risk
9293,male,57,free,3,skilled,1,yes,no,Risk
2916,male,27,own,1,skilled,1,none,yes,Risk
4400,female,43,own,1,skilled,1,none,yes,No Risk
5424,male,33,free,1,skilled,1,yes,yes,Risk
6163,male,33,own,2,skilled,1,none,yes,No Risk
5194,female,26,own,2,skilled,1,none,yes,Risk
7899,male,54,free,3,unskilled,1,yes,yes,Risk
5232,male,26,own,1,unskilled,1,none,yes,No Risk
5670,male,49,own,2,unskilled,2,yes,yes,No Risk
4031,male,47,own,2,skilled,2,yes,yes,No Risk
5422,female,34,own,2,skilled,2,yes,yes,Risk
4660,female,60,own,2,skilled,1,yes,yes,Risk
3002,female,41,own,2,unskilled,1,yes,yes,No Risk
6124,male,51,free,2,skilled,2,yes,yes,Risk
250,male,39,own,1,skilled,1,none,yes,No Risk
7200,female,29,own,1,skilled,1,none,yes,No Risk
1528,male,29,own,1,skilled,1,none,yes,No Risk
2605,female,36,free,1,skilled,1,none,no,Risk
1841,male,35,own,1,skilled,1,none,yes,No Risk
4989,male,39,own,2,skilled,2,yes,yes,No Risk
5548,male,32,own,1,skilled,2,yes,yes,No Risk
3689,male,36,own,1,skilled,2,yes,yes,No Risk
716,male,38,own,1,skilled,1,none,yes,No Risk
5072,male,41,own,1,skilled,1,none,yes,No Risk
3176,male,70,own,2,skilled,1,yes,yes,Risk
4005,male,35,own,2,unskilled,1,none,yes,No Risk
4777,male,36,free,2,skilled,1,yes,yes,Risk
5497,male,51,free,2,skilled,1,yes,yes,No Risk
1325,female,36,rent,1,unemployed,1,none,yes,No Risk
4902,male,46,own,1,skilled,1,yes,yes,No Risk
6386,male,49,own,1,skilled,1,yes,yes,Risk
1815,male,36,rent,1,unemployed,1,none,yes,No Risk
250,male,19,rent,1,skilled,1,none,yes,No Risk
3130,female,45,own,2,skilled,1,yes,yes,Risk
6815,male,36,own,2,skilled,1,yes,yes,Risk
1380,male,30,own,1,skilled,1,none,no,No Risk
6649,female,28,own,2,skilled,1,none,yes,No Risk
4771,female,39,own,2,skilled,1,yes,yes,Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
5921,male,39,own,1,skilled,1,none,yes,No Risk
4177,male,39,own,2,skilled,2,yes,yes,Risk
7061,female,38,own,2,unskilled,1,none,yes,No Risk
250,male,41,own,1,unskilled,1,yes,yes,Risk
3801,female,22,own,1,unemployed,1,yes,yes,No Risk
9683,male,49,own,2,unskilled,2,yes,yes,No Risk
250,female,19,own,1,skilled,1,none,yes,Risk
4448,male,39,own,2,skilled,1,none,no,No Risk
5193,female,46,own,3,skilled,2,yes,yes,Risk
2344,female,30,own,2,unemployed,1,none,yes,No Risk
587,female,19,rent,1,skilled,1,none,yes,No Risk
4582,male,40,own,1,skilled,2,yes,yes,Risk
250,male,25,rent,1,unskilled,1,none,yes,No Risk
3047,male,35,own,1,unskilled,1,yes,yes,No Risk
250,male,28,rent,2,skilled,1,yes,yes,No Risk
250,male,34,rent,1,unskilled,1,none,yes,No Risk
1710,female,43,own,1,unemployed,1,none,yes,No Risk
5478,female,43,own,1,unskilled,1,none,yes,No Risk
3416,male,34,own,1,skilled,1,none,yes,No Risk
8222,male,47,free,2,skilled,1,yes,yes,Risk
5855,male,42,own,2,skilled,1,none,yes,No Risk
763,female,29,own,1,skilled,1,none,yes,No Risk
250,female,42,own,1,skilled,1,none,yes,No Risk
8256,female,50,free,3,skilled,2,yes,yes,Risk
250,female,30,own,1,skilled,1,none,yes,No Risk
5470,male,33,own,2,skilled,1,none,no,Risk
3598,male,38,free,1,skilled,1,yes,yes,No Risk
250,male,20,rent,1,skilled,1,none,yes,No Risk
6222,female,41,own,2,skilled,2,yes,yes,Risk
4101,male,43,rent,1,unskilled,1,none,yes,No Risk
4459,female,36,own,1,skilled,1,none,yes,No Risk
1711,female,30,rent,1,skilled,1,none,yes,No Risk
4100,male,30,own,2,skilled,1,none,yes,No Risk
250,male,25,rent,1,skilled,1,yes,yes,No Risk
3681,male,30,own,1,skilled,2,none,yes,Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
2951,male,31,rent,2,unskilled,1,none,yes,No Risk
2604,female,39,own,2,skilled,1,none,yes,Risk
4174,female,44,own,2,skilled,1,none,yes,No Risk
5661,male,44,rent,2,unskilled,1,none,yes,No Risk
3631,female,48,own,2,skilled,1,none,yes,No Risk
5238,male,50,own,2,skilled,1,yes,yes,No Risk
586,female,19,rent,1,skilled,1,none,yes,No Risk
5180,male,46,own,2,skilled,1,yes,yes,Risk
250,male,22,rent,1,skilled,1,none,yes,No Risk
250,female,22,rent,1,unemployed,1,none,yes,No Risk
6863,male,49,own,2,skilled,2,yes,yes,Risk
250,female,32,own,1,skilled,1,none,yes,No Risk
5961,male,50,own,3,skilled,1,yes,yes,Risk
7143,male,47,free,2,skilled,1,yes,yes,Risk
1350,female,30,own,1,skilled,1,none,yes,No Risk
5678,male,54,free,2,skilled,1,yes,yes,Risk
5851,male,51,own,2,skilled,1,yes,yes,Risk
899,male,27,own,1,unskilled,1,yes,yes,No Risk
8357,male,53,free,2,skilled,1,yes,yes,Risk
2685,female,46,rent,1,unskilled,1,none,yes,No Risk
9086,male,47,free,2,skilled,1,yes,yes,Risk
250,female,19,rent,1,skilled,1,none,yes,No Risk
1096,female,29,rent,1,unskilled,1,none,yes,No Risk
1102,female,19,own,1,skilled,1,none,yes,No Risk
3831,female,43,rent,1,skilled,2,none,yes,Risk
250,male,34,own,1,skilled,1,none,yes,No Risk
2477,male,35,own,1,skilled,1,yes,yes,No Risk
3608,male,39,own,2,skilled,2,yes,yes,Risk
6597,female,48,own,2,skilled,1,yes,yes,Risk
1645,female,19,rent,1,skilled,1,none,yes,No Risk
3914,male,39,own,1,unskilled,2,yes,yes,No Risk
1519,female,33,rent,1,skilled,1,yes,yes,No Risk
8569,male,46,free,2,skilled,1,yes,yes,Risk
250,female,19,rent,1,unemployed,1,none,yes,No Risk
5139,male,45,own,1,unskilled,1,none,yes,No Risk
2931,female,49,own,2,skilled,1,none,yes,No Risk
3010,female,34,own,1,unemployed,1,yes,yes,Risk
3373,female,37,own,2,skilled,2,yes,yes,No Risk
3554,male,32,rent,1,skilled,1,none,yes,No Risk
3415,male,26,own,1,skilled,2,yes,yes,No Risk
6775,female,39,own,2,skilled,1,none,yes,Risk
4686,male,50,free,1,skilled,1,yes,yes,Risk
6516,male,54,own,2,skilled,1,yes,yes,No Risk
312,male,26,rent,1,unskilled,1,none,yes,No Risk
4420,male,34,own,1,unskilled,1,yes,yes,No Risk
250,female,21,own,1,skilled,1,none,yes,No Risk
1859,female,28,own,1,unskilled,1,none,yes,No Risk
1152,female,25,own,1,skilled,2,none,yes,No Risk
938,female,40,own,1,skilled,1,none,yes,No Risk
5622,female,39,free,2,skilled,1,none,yes,No Risk
4153,male,40,free,2,skilled,1,none,yes,Risk
250,male,26,own,1,skilled,1,none,yes,No Risk
5006,male,48,free,2,skilled,1,yes,yes,No Risk
2207,male,32,own,2,unskilled,2,none,yes,No Risk
309,male,28,rent,1,skilled,1,none,yes,No Risk
6010,male,42,own,2,skilled,1,none,yes,Risk
250,male,26,rent,1,skilled,1,none,yes,No Risk
3879,female,40,own,1,skilled,1,yes,yes,Risk
4467,male,28,own,3,unskilled,2,yes,yes,No Risk
6197,male,45,own,2,skilled,1,yes,yes,No Risk
250,male,19,rent,1,unskilled,1,none,yes,No Risk
5417,male,40,own,2,unemployed,1,yes,yes,No Risk
337,female,26,own,1,skilled,1,yes,yes,No Risk
1630,female,25,own,1,skilled,1,yes,yes,No Risk
4165,male,33,own,1,skilled,1,none,yes,No Risk
2072,female,22,own,1,skilled,1,none,yes,No Risk
1620,male,30,free,1,skilled,1,none,yes,Risk
6893,female,45,own,2,unskilled,1,yes,yes,Risk
1299,female,36,free,2,skilled,1,yes,yes,No Risk
250,male,27,own,1,skilled,1,none,yes,No Risk
4296,male,42,own,2,unskilled,1,none,yes,No Risk
790,male,19,rent,1,unskilled,1,none,yes,No Risk
6052,female,42,own,3,unskilled,2,yes,yes,Risk
4833,female,45,free,2,unskilled,1,yes,yes,No Risk
4570,female,38,rent,1,unskilled,1,none,yes,No Risk
3563,male,23,own,1,skilled,1,none,yes,No Risk
250,female,31,own,1,skilled,1,none,yes,No Risk
2309,male,33,own,1,unskilled,2,none,yes,No Risk
250,female,21,rent,1,skilled,1,none,yes,No Risk
6307,male,46,free,1,skilled,1,yes,yes,No Risk
1241,male,19,rent,1,unskilled,1,none,yes,Risk
1286,female,23,own,1,skilled,1,none,yes,No Risk
7086,male,55,free,2,skilled,1,yes,yes,Risk
9295,male,42,free,2,skilled,1,none,yes,No Risk
900,female,32,own,2,skilled,1,none,yes,No Risk
2976,female,32,own,2,skilled,1,none,yes,No Risk
2265,male,27,rent,1,skilled,1,none,yes,No Risk
250,male,21,rent,1,skilled,1,none,yes,No Risk
3175,male,36,rent,1,skilled,1,none,yes,No Risk
7593,male,46,free,2,skilled,1,yes,yes,No Risk
7987,male,45,own,2,unskilled,1,yes,yes,Risk
6479,female,40,own,1,skilled,1,yes,yes,No Risk
5592,male,45,own,1,skilled,1,none,yes,Risk
6826,male,34,own,2,skilled,1,yes,yes,No Risk
1299,female,24,own,1,skilled,1,none,yes,No Risk
5009,male,34,own,1,skilled,2,yes,yes,No Risk
5912,female,46,own,1,skilled,2,yes,yes,Risk
811,male,33,rent,1,unemployed,1,none,yes,No Risk
6544,male,32,own,2,skilled,1,none,yes,Risk
598,female,34,rent,1,skilled,1,none,yes,No Risk
2274,male,24,own,2,skilled,1,none,yes,Risk
4002,female,49,own,1,unskilled,1,yes,yes,Risk
250,male,20,rent,1,unskilled,1,none,yes,No Risk
937,female,26,own,1,skilled,1,none,yes,No Risk
1841,male,46,own,2,skilled,1,yes,yes,No Risk
250,male,39,own,2,skilled,1,yes,yes,Risk
1328,female,27,rent,1,skilled,1,none,yes,No Risk
709,female,22,rent,2,skilled,2,none,yes,Risk
7032,male,44,own,2,unskilled,2,yes,yes,No Risk
250,female,21,rent,1,skilled,1,none,yes,No Risk
2084,female,36,rent,1,skilled,1,none,yes,No Risk
3626,female,47,free,2,skilled,2,yes,yes,Risk
1646,male,40,own,1,skilled,1,none,yes,No Risk
6559,female,57,own,2,unskilled,2,yes,yes,Risk
1569,female,25,free,2,skilled,1,yes,yes,No Risk
2034,male,39,rent,1,skilled,1,none,yes,No Risk
1000,female,34,own,1,skilled,1,none,yes,No Risk
